"Parentage"	"ProductName "	"Description "	"ItemType"	"image_link "	"Length"	"TotalMetalWeight "	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "
"ER899"	"14K Yellow Gold Diamond Solitaire Stud Earrings 0.46 Ctw"	"These alluring unisex diamond solitaire stud earrings are crafted in astonishing 14K Yellow Gold. The center of each earring is prong set with small round cut diamond and they both total to 0.46 carats. Weighing approximately 1 grams, they securely lock with a screw back closure. These small unisex diamond earring studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er899-1.jpg"	""	"1.0000"	"0.46 Ctw"	""	"Yellow"	"14K Gold"	"4 Prong "	"1750.0000"	"584.0000"
"ER897"	"14K Yellow Gold Diamond Solitaire Stud Earrings 0.47 Ctw"	"These alluring unisex diamond solitaire stud earrings are crafted in astonishing 14K Yellow Gold. The center of each earring is prong set with small round cut diamond and they both total to 0.47 carats. Weighing approximately 1 grams, they securely lock with a screw back closure. These small unisex diamond earring studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er897-1.jpg"	""	"1.0000"	"0.47 Ctw"	""	"Yellow"	"14K Gold"	"4 Prong "	"2150.0000"	"717.0000"
"ER894"	"18K White Gold Diamond Solitaire Stud Earrings 1.33 Ctw"	"These alluring unisex diamond solitaire stud earrings are crafted in highy polished 18K White Gold. The center of each earring is prong set with one brilliant round cut diamond. Both diamonds total to 1.33 carats. Weighing approximately 1.3 gram, these lovely unisex diamond earring studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er894-1.jpg"	""	"1.0000"	"1.33 Ctw"	""	"White"	"18K Gold"	"4 Prong "	"9000.0000"	"3000.0000"
"ER554"	"14K Yellow Gold Diamond Solitaire Stud Earrings 1.05 Ctw"	"These exquisite unisex diamond solitaire stud earrings are prong set with two brilliant round cut diamonds which are F in color and SI1 in clarity. The frame of each earring is crafted in 14K Yellow Gold and securely locks with a screw back closure. Weighing approximately 1.3 grams, these beautiful unisex diamond earring studs are ideal for casual or special wear."	"Diamond Earring"	"/e/r/er554-1.jpg"	""	"1.0000"	"1.05 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"8500.0000"	"2834.0000"
"ER8879"	"14K Yellow Gold Womens Diamond Heart Stud Earrings 0.25 Ctw"	"These charming womens diamond heart stud earrings are crafted in 14K Yellow Gold. The center is highlighted with very small round cut diamonds which are held on micro pave setting. The frame of each earrling securely locks with a push back closure and they both weigh approximately 2.2 grams. These charming womens diamond heart earrings are ideal for an every day casual wear. "	"Diamond Earring"	"/e/r/er8879-1.jpg"	"3/8 Inches (9 mm)"	"1.0000"	"0.25 Ctw"	""	"Yellow"	"14K Gold"	"Micro Pave "	"500.0000"	"167.0000"
"ER4545"	"14K Yellow Gold Womens Emerald Stud Earrings 0.80 Ctw"	"These lovely womens diamond earring studs are crafted in 14K Yellow Gold. Each earring is prong set with one man made green round cut emerald which weighs approximately 0.40 carats. Weighing approximately 1.4 grams, these exquisite emerald earring studs measure to approximately 3/16 Inches in width."	"Diamond Earring"	"/e/r/er4545-1.jpg"	""	"1.0000"	"0.80 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"450.0000"	"150.0000"
"ER654"	"18K Yellow Gold Womens Diamond Stud Earrings 0.96 Ctw"	"These finely detailed womens diamond earring studs are crafted in highly polished 18K Yellow Gold. The center of each earring is prong set with one green russian demantoid garnet which weighs 0.28 carats each. Each stone is surrounded with very small round cut diamonds which are VS1/VS2 in clarity and G/H in color. The total weight for the small diamonds is 0.40 carats and the total weight for the gemstones is 0.56 carats. These exquisite womens diamond earring studs are ideal for an every day glamorous wear."	"Diamond Earring"	"/e/r/er654-1.jpg"	""	"1.0000"	"0.40 Ctw"	""	"Yellow"	"18K Gold"	"Prong "	"3000.0000"	"1000.0000"
"ER9975"	"14K White Gold Diamond Cluster Stud Earrings 1.27 Ctw"	"These elegant cluster diamond stud earrings are crafted in highly polished 14K White Gold. The center of each earring features small seven round cut diamonds which are G in color and VS1 in clarity. Both earrings securely lock with a durable push back closure and weigh a total of 2.2 grams. These one of a kind unisex diamond earring studs are ideal for a casual or special wear."	"Diamond Earring"	"/e/r/er9975-1.jpg"	"1/4 Inches (7.5 mm)"	"1.0000"	"1.27 Ctw"	""	"White"	"14K Gold"	"Pave "	"1875.0000"	"625.0000"
"ER11213"	"18K White Gold Womens Diamond Earrings 1.93 Ctw"	"These uniquely designed womens diamond earrings are crafted in highly polished 18K White Gold. The frame is outlined with small round cut diamonds which are carefully placed on micro pave setting. The earrings weigh approximately 13 grams and securely lock with a saddleback closure. These exquisite womens diamond earrings are ideal for a glamorous night out. NOTE: See our Related Products section on the right hand corner for a matching necklace that can be purchased separately."	"Diamond Earring"	"/e/r/er11213-1.jpg"	"1 Inches (25 mm)"	"1.0000"	"1.93 Ctw"	""	"White"	"18K Gold"	"Micro Pave "	"6500.0000"	"2167.0000"
"ER7412"	"14K Yellow Gold Diamond Solitaire Stud Earrings 1.32 Ctw"	"These elegant unisex diamond solitaire stud earrings are crafted in highly polished 14K Yellow Gold. Each earring is prong set with one round cut I/J in color and SI3/I1 in clarity diamond. Securely locking with screw back closures, these exquisite diamond earring studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er7412-1_1.jpg"	"3/16 Inches (5 mm)  - diameter"	"1.0000"	"1.32 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"6750.0000"	"2250.0000"
"ER7411"	"14K Yellow Gold Diamond Solitaire Stud Earrings 1.00 Ctw"	"These elegant unisex diamond solitaire stud earrings are crafted in highly polished 14K Yellow Gold. Each earring is prong set with one round cut H/I in color and SI2/SI3 in clarity diamond. Securely locking with screw back closures, these exquisite diamond earring studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er7411-1.jpg"	"3/16 Inches (5 mm)  - diameter"	"1.0000"	"1.32 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"7500.0000"	"2500.0000"
"ER7745"	"10K Yellow Gold Womens Diamond Hoop Earrings 0.25 Ctw"	"These alluring womens diamond hoop earrings are crafted in highly polished 10K Yellow Gold. The center of each earring is channel set with small round cut diamonds which weigh a total of 0.25 carats. The frame of each earring is 3/4 Inches in length and 1/8 Inches in width. These simple womens diamond hoop earrings are ideal for an every day fashion wear."	"Diamond Earring"	"/e/r/er7745-1.jpg"	"3/4 Inches "	"1.0000"	"0.25 Ctw"	""	"Yellow"	"10K Gold"	"Channel"	"650.0000"	"217.0000"
"ER7941"	"14K White Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.82 Ctw"	"These elegant diamond solitaire stud earrings are crafted in highly polished 14K White Gold. The center of each earring is prong set with one clarity enhanced round cut diamond. These alluring earring studs weigh approximately 1 gram and securely lock with a screw back closure."	"Diamond Earring"	"/e/r/er7941-1.jpg"	"1/4 Inches (6 mm)"	"1.0000"	"0.82 Ctw"	""	"White"	"14K Gold"	"Prong "	"5000.0000"	"1667.0000"
"S45446"	"14K White Gold Womens Diamond Hoop Earrings 3.88 Ctw"	"These alluring womens diamond hoop earrings are crafted in highly polished 14K White Gold. The inner and outer frame of each hoop earring is pave set with brilliant small round cut diamonds. Both earrings weigh approximately 12.3 grams and securely lock with a hidden clasp. "	"Diamond Earring"	"/s/4/s45446-1.jpg"	"3/4 Inches (18 mm)"	"1.0000"	"3.88 Ctw"	""	"White"	"14K Gold"	"Micro Pave "	"12860.0000"	"4287.0000"
"ER1120"	"14K Yellow Gold Womens Diamond Earrings 0.30 Ctw"	"These lovely womens diamond earrings are crafted in lustrous 14K Yellow Gold. The center of each earring is channel set with small round cut diamonds which weigh a total of 0.30 carats. Weighing approximately 3.6 grams, these alluring womens diamond earrings securely lock with an omega clasp closure."	"Diamond Earring"	"/e/r/er1120-1.jpg"	"5/8 Inches (16 mm)"	"1.0000"	"0.30 Ctw"	""	"Yellow"	"14K Gold"	"Channel "	"1000.0000"	"334.0000"
"ER6253"	"14K Rose Gold Womens Diamond Hoop Earrings 2.50 Ctw"	"These elegant womens diamond hoop earrings are crafted in lustrous 14K Rose Gold. The inner and outer frame of each earring is adorned with numerous small round cut diamonds which are placed on micro pave settings. Weighing approximately 10 grams, these earrings measure to 1/8 Inches in width. Gleaming with exquisiteness, these womens diamond hoop earrings are ideal for casual or special wear."	"Diamond Earring"	"/e/r/er6253-1.jpg"	"1 1/4 Inches (28 mm)"	"1.0000"	"2.50 Ctw"	""	"Rose"	"14K Gold"	"Micro Pave "	"3750.0000"	"1250.0000"
"ER4316"	"14K Yellow Gold Womens Diamond Emerald Earrings 1.66 Ctw"	"These elegant womens diamond earrings are crafted in highly polished 14K Yellow Gold. The center of each earring is prong set with one oval shape green emerald and one round cut small diamond. The total carat weight for emerald stones is 1.60 ctw and the total carat weight for both diamonds is 0.06 ctw. These finely detailed womens diamond earrings weigh a total of 2 grams."	"Diamond Earring"	"/e/r/er4316-1_1.jpg"	"11/16 Inches (17 mm)"	"1.0000"	"0.06 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"1500.0000"	"500.0000"
"ER113A"	"14K White Gold Clarity Enhanced Diamond Solitaire Stud Earrings 1.15 Ctw"	"These alluring clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K White Gold. The center of each earring is prong set with one brilliant round cut clarity enhanced diamond which weighs 0.57 carats. Securely locking with a screw back closure, the diameter of these diamond earring studs measures to 3/16 Inches. "	"Diamond Earring"	"/e/r/er113-1.jpg"	"3/16 Inches (4.1 mm)"	"1.0000"	"1.15 Ctw"	""	"White"	"14K Gold"	"Prong "	"5750.0000"	"1917.0000"
"ER110"	"14K White Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.85 Ctw"	"These exquisite unisex clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K white gold. The center of each earring is prong set with one brilliant round cut clarity enhanced diamond which weighs a total of 0.42 carats. Carrying a total of 0.85 carat diamonds, these two unisex diamond earring studs measure to 3/16 Inches in diameter and weigh approximately 1 gram. "	"Diamond Earring"	"/e/r/er110a-1.jpg"	"3/16 Inches (4.8 mm)"	"1.0000"	"0.85 Ctw"	""	"White"	"14K Gold"	"Prong "	"8000.0000"	"2667.0000"
"ER110A"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.85 Ctw"	"These exquisite unisex clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K yellow gold. The center of each earring is prong set with one brilliant round cut clarity enhanced diamond which weighs a total of 0.42 carats. Carrying a total of 0.85 carat diamonds, these two unisex diamond earring studs measure to 3/16 Inches in diameter and weigh approximately 1 gram. "	"Diamond Earring"	"/e/r/er110-1.jpg"	"3/16 Inches (4.8 mm)"	"1.0000"	"0.85 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"4500.0000"	"1500.0000"
"ER111"	"14K White Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.80 Ctw"	"These lovely clarity enhanced diamond stud earrings are crafted in 14K White Gold. The center of each earring is prong set with one brilliant clarity enhanced diamond which weighs a total of 0.40 carats. Carrying a total of 0.80 carats, these exquisite unisex clarity enhanced diamond studs are ideal for an every day fashion wear. "	"Diamond Earring"	"/e/r/er111a-1.jpg"	"3/16 Inches (4.6 mm)"	"1.0000"	"0.80 Ctw"	""	"White"	"14K Gold"	"Prong "	"4350.0000"	"1450.0000"
"ER102"	"14K White Gold Clarity Enhanced Diamond Solitaire Stud Earrings 1.02 Ctw"	"These exquisite clarity enhanced diamond solitaire stud earrings carry a total of 1.02 carats. The frame of each earring is crafted in lustrous 14K white gold and measures to 3/16 Inches in diameter. Securely locking with a screw back closure, these clarity enhanced diamond studs are ideal for an every day fashion wear."	"Diamond Earring"	"/e/r/er102-1.jpg"	"3/16 Inches (5 mm)"	"1.0000"	"1.02 Ctw"	""	"White"	"14K Gold"	"Prong "	"5400.0000"	"1800.0000"
"ER115"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.75 Ctw"	"These exquisite unisex clarity enhanced diamond solitaire stud earrings carry a total of 0.75 carats. The frame of each earring is crafted in lustrous 14K yellow gold and measures to 3/16 Inches in diameter. Securely locking with a screw back closure, these clarity enhanced diamond studs are ideal for an every day fashion wear."	"Diamond Earring"	"/e/r/er115-1.jpg"	"3/16 Inches (4.6 mm)"	"1.0000"	"0.75 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"4200.0000"	"1400.0000"
"ER115A"	"14K White Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.75 Ctw"	"These exquisite clarity enhanced diamond solitaire stud earrings carry a total of 0.75 carats. The frame of each earring is crafted in lustrous 14K white gold and measures to 3/16 Inches in diameter. Securely locking with a screw back closure, these clarity enhanced diamond studs are ideal for an every day fashion wear."	"Diamond Earring"	"/e/r/er115a-1.jpg"	"3/16 Inches (4.6 mm)"	"1.0000"	"0.75 Ctw"	""	"White"	"14K Gold"	"Prong "	"4200.0000"	"1400.0000"
"ER103"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.92 Ctw"	"These one of a kind clarity enhanced diamond solitaire stud earrings feature two round cut diamonds which weigh a total of 0.92 carats. Each frame is crafted in lustrous 14K Yellow Gold and measures to 3/16 Inches in diameter. These brilliant clarity enhanced diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/E/R/ER103-1.jpg"	"3/16 Inches (4.8 mm)"	"1.0000"	"0.92 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"4850.0000"	"1617.0000"
"ER106"	"14K White Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.62 Ctw"	"These one of a kind clarity enhanced diamond solitaire stud earrings feature two round cut diamonds which weigh a total of 0.62 carats. Each frame is crafted in lustrous 14K White Gold and measures to 3/16 Inches in diameter. These brilliant clarity enhanced diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/E/R/ER106-1.jpg"	"3/16 Inches (4.3 mm)"	"1.0000"	"0.62 Ctw"	""	"White"	"14K Gold"	"Prong "	"3000.0000"	"1000.0000"
"ER11201"	"14K Yellow Gold Diamond Stud Earrings 0.90 Ctw"	"These simple unisex diamond stud earrings are crafted in 14K Yellow Gold. The center of each earring is invisibly set with nine brilliant princess cut diamonds. Securely locking with a screw back closure, these allruing diamond earring studs are ideal for an every day casual wear. "	"Diamond Earring"	"/e/r/er11201-1.jpg"	"1/4 Inches (6.3 mm)"	"1.0000"	"0.90 Ctw"	""	"Yellow"	"14K Gold"	"Invisible "	"1500.0000"	"500.0000"
"ER0098"	"18K White Gold Womens Diamond Hoop Earrings 1.25 Ctw"	"These exquisite womens diamond hoop earrings are crafted in lustrous 18K White Gold. The inner and outer frame of every earring is prong set with small round cut diamonds which are VS1 in clarity and G in color. Handmade in Italy, these finely detailed womens diamond earrings measure to 1/8 Inches in width and weigh approximately 5.4 grams."	"Diamond Earring"	"/e/r/er0098-1.jpg"	"1 Inch (25 mm)"	"1.0000"	"1.25 Ctw"	""	"White"	"18K Gold"	"Prong "	"4500.0000"	"1500.0000"
"ER0096"	"18K White Gold Womens Diamond Hoop Earrings 4.23 Ctw"	"These exquisite womens diamond hoop earrings are crafted in lustrous 18K White Gold. The inner and outer frame of every earring is prong set with small round cut diamonds which are VS2 in clarity and G in color. Handmade in Italy, these finely detailed womens diamond earrings measure to 1/8 Inches in width and weigh approximately 12.7 grams."	"Diamond Earring"	"/e/r/er0096-1.jpg"	"1 1/2 Inches (38.1 mm)"	"1.0000"	"4.23 Ctw"	""	"White"	"18K Gold"	"Prong "	"13500.0000"	"4500.0000"
"ER0097"	"18K White Gold Womens Diamond Hoop Earrings 2.26 Ctw"	"These exquisite womens diamond hoop earrings are crafted in lustrous 18K White Gold. The inner and outer frame of every earring is prong set with small round cut diamonds which are VS1 in clarity and G in color. Handmade in Italy, these finely detailed womens diamond earrings measure to 1/8 Inches in width and weigh approximately 8.8 grams."	"Diamond Earring"	"/e/r/er0097-1.jpg"	"1 1/2 Inches (38.1 mm)"	"1.0000"	"2.26 Ctw"	""	"White"	"18K Gold"	"Prong "	"8750.0000"	"2917.0000"
"ER13801"	"14K White Gold Womens Diamond Pearl Earrings 0.71 Ctw"	"These lovely womens diamond pearl earrings are crafted in lustrous 14K White Gold. Each earring is set with one round cut white pearl which measures to 12 mm in diameter and surrounded with small pave set round cut diamonds. Securely locking with a push back closure, these earrings weigh approximately 10.2 grams. These classy womens diamond pearl earrings are ideal for a glamorous night out."	"Diamond Earring"	"/E/R/ER13801-1.jpg"	"11/16 Inches (17 mm)"	"1.0000"	"0.71 Ctw"	""	"White"	"14K Gold"	"Pave "	"3750.0000"	"1250.0000"
"ER13800"	"14K White Gold Womens Diamond Earrings 1.00 Ctw"	"These uniquely designed womens diamond earrings are crafted in highly polished 14K White Gold. The top part of the earrings, measuring to 3/4 Inches in length,  securely lock with an omega clasp closure and are pave set with numerous small round cut diamonds. The base of the earrings are carved out to form an elegant design which is outlined with small round cut diamonds. Whenever desired, the main top part of the earrings may be seperated from the base and worn separately. The base measures to 1 Inches in length and width. These two in one womens diamond earrings weigh a total of 11 grams and are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er13800-1.jpg"	"1 3/4 Inches "	"1.0000"	"1.00 Ctw"	""	"White"	"14K Gold"	"Pave "	"3750.0000"	"1250.0000"
"ER5567"	"18K White Gold Womens Diamond Hoop Earrings 0.90 Ctw"	"These lovely womens diamond hoop earrings are crafted in lustrous 18K White Gold. The inner and outer frames of each earring are prong set with brilliant VS1 in clarity and G in color round cut diamonds. Measuring to 3/4 Inches in length and 1/8 Inches in width, these earrings weigh a total of 4.6 grams. These exquisite womens diamond hoop earrings are ideal for both casual and special wear."	"Diamond Earring"	"/e/r/er5567-1.jpg"	"3/4 Inches (18 mm)"	"1.0000"	"0.90 Ctw"	""	"White"	"18K Gold"	"Prong "	"3000.0000"	"1000.0000"
"ER7781"	"14K White Gold Diamond Cluster Stud Earrings 1.05 Ctw"	"These elegant unisex cluster diamond stud earrings are crafted in 14K White Gold. The center is prong set with seven brilliant VS2 in clarity and G in color round cut diamonds which weigh a total of 1.05 carats. The frame of each earring measures to 1/4 Inches in width and securely locks with a push back closure. These exquisite unisex diamond earring studs are ideal for casual or special wear."	"Diamond Earring"	"/e/r/er7781-1.jpg"	"1/4 Inches (7 mm)"	"1.0000"	"1.05 Ctw"	""	"White"	"14K Gold"	"Prong "	"2500.0000"	"834.0000"
"ER7783"	"14K White Gold Diamond Cluster Stud Earrings 1.07 Ctw"	"These elegant unisex cluster diamond stud earrings are crafted in 14K White Gold. The center is prong set with seven brilliant SI1/SI2  in clarity and H in color round cut diamonds which weigh a total of 1.07 carats. The frame of each earring measures to 1/4 Inches in width and securely locks with a push back closure. These exquisite unisex diamond earring studs are ideal for casual or special wear."	"Diamond Earring"	"/e/r/er7783-1.jpg"	"1/4 Inches (7.5 mm)"	"1.0000"	"1.07 Ctw"	""	"White"	"14K Gold"	"Prong "	"1875.0000"	"625.0000"
"ER7782"	"14K White Gold Diamond Cluster Stud Earrings 0.85 Ctw"	"These elegant unisex cluster diamond stud earrings are crafted in 14K White Gold. The center is prong set with seven brilliant SI1/SI2  in clarity and H in color round cut diamonds which weigh a total of  0.85 carats. The frame of each earring measures to 1/4 Inches in width and securely locks with a push back closure. These exquisite unisex diamond earring studs are ideal for casual or special wear."	"Diamond Earring"	"/e/r/er7782-1.jpg"	"1/4 Inches (7.5 mm)"	"1.0000"	"0.85 Ctw"	""	"White"	"14K Gold"	"Prong "	"1750.0000"	"584.0000"
"ER55432"	"14K White Gold Womens Diamond Earrings 0.50 Ctw"	"These lovely womens diamond earrings are crafted in lustrous 14K White Gold. The center of each earring is channel set with small brilliant round cut diamonds which total to 0.25 carats on each. The frame measures to 5/8 Inches in length and they both weigh a total of 4 grams. Securely locking with an omega clasp closure, these exquisite womens diamond earrings are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er55432-1.jpg"	"5/8 Inches (15 mm)"	"1.0000"	"0.50 Ctw"	""	"White"	"14K Gold"	"Channel "	"1250.0000"	"417.0000"
"ER44567"	"18K White Gold Womens Diamond Hoop Earrings 7.50 Ctw"	"These exclusively designed in Italy womens diamond hoop earrings are crafted in highly gleaming 18K White Gold. The outer frame of the earrings is prong set with numerous small round cut diamonds which are G in color and VS1 in clarity. These earrings measure to 1 1/4 Inches in length and 3/16 Inches in width. Handmade to absolute perfection, these lovey womens diamond hoop earrings weigh a total of 17.3 grams. "	"Diamond Earring"	"/e/r/er44567-1.jpg"	"1 1/4 Inches (31.7 mm)"	"1.0000"	"7.50 Ctw"	""	"White"	"18K Gold"	"Prong "	"24500.0000"	"8167.0000"
"ER11023"	"18K White Gold Womens Diamond Topaz Earrings 0.10 Ctw"	"These lovely womens diamond topaz earrings are crafted in 18K White Gold. The center is prong set with small round cut diamonds which weigh a total of 0.10 carats and are H in color and SI1 in clarity. Small marquise cut blue topaz gemstones are prong set across the center and measure to 6X3 mm each. Securely locking with a push back closure, these lovely womens topaz earrings are ideal for a special night out. NOTE: Matching bracelet and a ring may be purchased separately. Please see our Related Products Section on the right hand corner."	"Diamond Earring"	"/e/r/er11023-1.jpg"	"2 Inches (50.8 mm)"	"1.0000"	"0.10 Ctw"	""	"White"	"18K Gold"	"Prong "	"2650.0000"	"884.0000"
"ER12365"	"14K Yellow Gold Womens Diamond Sapphire Stud Earrings 2.50 Ctw"	"These lovely womens diamond sapphire earrings are crafted in highly gleaming 14K Yellow Gold. The center of each earring is prong set with one oval shape blue sapphire which weighs 1.0 carats. Each sapphire is surrounded with small round cut diamonds which are G in color and SI1 in clarity. The total carat weight for these gemstones is 2.00 carats and for the diamonds is 0.50 carats. Finely detailed to perfection, these brilliant womens diamond earrings weigh a total of 3.5 grams and securely lock with a push back closure. NOTE: Please see our Related Products Section on the right hand corner for a matching ring which could be purchased separately."	"Diamond Earring"	"/e/r/er12365-1.jpg"	"3/8 Inches (9 mm )"	"1.0000"	"0.50 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"2750.0000"	"917.0000"
"ER47822"	"14K White Gold Womens Diamond Heart Earrings 0.35 Ctw"	"These lovely womens diamond earrings are crafted in highly gleaming 14K White Gold. The frame of each earring features two rows of small hearts in which one row is pave set with small round cut diamonds. Securely locking with a screw back closure, the frame measures to 2 Inches in width and they both weigh approximately 15.5 grams. These exquisite womens diamond heart earrings are ideal for an every day casual wear."	"Diamond Earring"	"/E/R/ER47822-1.jpg"	"2 Inches (50 mm)"	"1.0000"	"0.35 Ctw"	""	"White"	"14K Gold"	"Pave "	"3000.0000"	"1000.0000"
"16126"	"18K White Gold Womens Diamond Hoop Earrings 8.04 Ctw"	"These handmade womens diamond hoop earrings are crafted in highly gleaming 18K White Gold. Small brilliant round cut diamonds are set all the way across the inner and outer frame of each earring. The frame measures to 1 1/4 Inches in length and they both weigh approximately 17 grams. These one of a kind womens diamond earrings gleam with beauty and perfection."	"Diamond Earring"	"/e/r/er5120-1.jpg"	"1 1/4 Inches (31 mm)"	"1.0000"	"8.04 Ctw "	""	"White"	"18K Gold"	"Prong "	"22500.0000"	"7499.0000"
"ER405"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.65 Ctw"	"These exquisite clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is prong set with one small round cut diamond which is H in color and SI2 in clarity. Securely locking with a screw back closure, these elegant unisex diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er405-1_1.jpg"	"3/16 Inches (4 mm)"	"1.0000"	"0.65 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"2750.0000"	"917.0000"
"ER406"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.70 Ctw"	"These exquisite unisex clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is prong set with one small round cut diamond which is H in color and SI2 in clarity. Securely locking with a screw back closure, these elegant unisex diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er406-1_1.jpg"	"3/16 Inches (4 mm)"	"1.0000"	"0.70 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"2975.0000"	"992.0000"
"ER411"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.60 Ctw"	"These exquisite unisex clarity enhanced solitaire diamond stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is prong set with one small round cut diamond which is H in color and SI2 in clarity. Securely locking with a screw back closure, these elegant unisex diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er411-1.jpg"	"3/16 Inches (4 mm)"	"1.0000"	"0.60 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"2400.0000"	"800.0000"
"ER408"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.90 Ctw"	"These exquisite clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is prong set with one small round cut diamond which is H in color and SI2 in clarity. Securely locking with a screw back closure, these elegant unisex diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er408-1.jpg"	"3/16 Inches (4 mm)"	"1.0000"	"0.90 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"3750.0000"	"1250.0000"
"ER407"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.75 Ctw"	"These exquisite unisex clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is prong set with one small round cut diamond which is H in color and SI2 in clarity. Securely locking with a screw back closure, these elegant unisex diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er407-1_1.jpg"	"3/16 Inches (4 mm)"	"1.0000"	"0.75 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"3000.0000"	"1000.0000"
"ER409"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.95 Ctw"	"These exquisite unisex clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is prong set with one small round cut diamond which is H in color and SI2 in clarity. Securely locking with a screw back closure, these elegant unisex diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er409-1.jpg"	"3/16 Inches (4 mm)"	"1.0000"	"0.95 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"4675.0000"	"1559.0000"
"ER412"	"14K Yellow Gold Clarity Enhanced Diamond Solitaire Stud Earrings 0.50 Ctw"	"These exquisite unisex clarity enhanced diamond solitaire stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is prong set with one small round cut diamond which is H in color and SI2 in clarity. Securely locking with a screw back closure, these elegant unisex diamond studs are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er412-1.jpg"	"1/8 Inches  (3 mm)"	"1.0000"	"0.50 Ctw"	""	"Yellow"	"14K Gold"	"Prong "	"1650.0000"	"550.0000"
"ER3302"	"14K White Gold Womens Diamond Hoop Earrings 0.40 Ctw"	"These lovely womens diamond earrings are crafted in 14K White Gold. The outer frame is pave set with small round cut diamonds which total to 0.40 carats. The frame measures to 3/4 Inches in length and 1/8 Inches in width. Weighing approximately 4.2 grams, these small womens diamond earrings are ideal for an every day casual wear."	"Diamond Earring"	"/e/r/er3302-1.jpg"	"3/4 Inches (18 mm)"	"1.0000"	"0.40 Ctw"	""	"White"	"14K Gold"	"Micro Pave "	"979.0000"	"329.0000"
