sku,title,price,quantity,image1,image2,ring_size,weight,width,length,metal_type,metal_color,gemstone_type,gemstone_color,gemstone_weight,gemstone_shape,diamond_color,diamond_clarity,diamond_carat_weight,diamond_shape,center_diamond_weight,center_diamond_clarity,center_diamond_color,center_diamond_cut,description,category
S46236A,"Round Cut Diamond Promise Ring in White Gold",855,4,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/4/s46236aa.jpg,http://www.povada.com/media/catalog/product/s/4/s46236ab.jpg,"7 (Resizable between size 6-8)","4.0 grams","0.42 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,0.66ct,Round,,,,,"The finishing touch to your look! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely design covered in shimmering round cut diamonds surrounding the single round cut diamond held in the setting in the center. The center stone is 0.33cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
MB3256,"Platinum Diamond Semi Mount Ring",1595,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb3256a.jpg,http://www.povada.com/media/catalog/product/m/b/mb3256b.jpg,"6.5 (Resizable between size 5.5-7.5)","7.8 grams","0.3 inches",,Platinum,White,,,,,G/H,SI2/SI3,0.87ct,"Round,Baguette",,,,,"Catch a lot of attention with this fabulous design! Handcrafted in lustrous platinum, this beautiful diamond semi mount ring features a lovely design with shimmering round and baguette cut diamonds climbing up the sides of the frame showcasing the setting in the center of the ring. Mount fits 6.0x6.2 mm, round cut stone. The color of the diamonds are G/H and the clarity is SI2/SI3.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Semi Mount Rings"
SDR0425,"Vibrant Round and Baguette Cut Diamond Semi Mount Ring in White Gold",1127,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/d/sdr0425a.jpg,http://www.povada.com/media/catalog/product/s/d/sdr0425b.jpg,"6.5 (Resizable between size 5.5-7.5)","6.0 grams","0.27 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,0.92ct,"Round,Baguette",,,,,"The finishing touch to your look! Handcrafted in lustrous 14k white gold, this beautiful diamond semi mount ring features a lovely design covered in baguette cut diamonds surrounding the setting in the center. The semi mount setting fits 6.1x6.3 mm, round cut stone. The color of the diamonds are G/H and the clarity is SI2/SI3.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Semi Mount Rings"
BJ4793A,"Designer Round and Baguette Cut Diamond Semi Mount  Flower Ring in White Gold",2573,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/j/bj4793aa.jpg,http://www.povada.com/media/catalog/product/b/j/bj4793ab.jpg,"7 (Resizable between size 6-8)","9.6 grams","0.4 inches",,"18K Gold",White,,,,,F/G,SI1/SI2,1.11ct,"Round,Baguette",,,,,"Catch a lot of attention with this fabulous design! Handcrafted in lustrous 18k white gold, this diamond semi mount ring features a dazzling design with cluster setting on each side of the setting leading to an array of baguette cut diamonds. Mount fits 7.3 mm, round cut stone. The color of the diamonds are F/G and the clarity is SI1/SI2.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Semi Mount Rings"
R4381B,"Elegant Yellow Gold Brilliant Diamond Semi Mount Ring",767,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/4/r4381ba.jpg,http://www.povada.com/media/catalog/product/r/4/r4381bb.jpg,"7 (Resizable between size 6-8)","5.5 grams","0.31 inches",,"18K Gold",Yellow,,,,,G/H,SI1/SI2,"0.56 ct",Round,,,,,"This memorable 18K yellow gold ring features a 6 prong raised semi mount that can fit a 1.75 ct round cut center stone. Two rows of brilliant round cut, prong set diamonds surround the center mount. The elegantly handcrafted band features three rows of brilliant round cut, prong set diamonds with intricate gold detailing.","Engagement > Diamond Semi Mount Rings"
R05276,"Diamond Semi Mount Ring in White Gold",970,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/0/r05276a.jpg,http://www.povada.com/media/catalog/product/r/0/r05276b.jpg,"6.5 (Resizable between size 5.5-7.5)","4.9 grams","0.38 inches",,"18K Gold",White,,,,,F/G,SI1/SI2,0.33ct,Round,,,,,"Dress yourself up with something spectacular! Handcrafted in lustrous 18k white gold, this simple and beautiful diamond semi mount ring features a lovely comfort fit design accented by shimmering round cut diamonds surrounding the setting in the center. Mount fits 3.1 mm, round cut stone. . The color of the diamonds are F/G and the clarity is SI1/SI2.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Semi Mount Rings"
RA356,"Diamond Semi Mount Ring in White Gold",527,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/a/ra356.jpg,http://www.povada.com/media/catalog/product/r/a/ra356b.jpg,"7 (Resizable between size 6-8)","2.6 grams","0.31 inches",,"14K Gold",White,,,,,G/H,SI1/SI2,,Round,,,,,"Dress yourself up with something spectacular! Handcrafted in lustrous 14k white gold, this beautiful diamond semi mount ring features a lovely design covered in shimmering round cut diamonds held in a secure prong setting. The color of the diamonds are G/H and the clarity is SI1/SI2.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Semi Mount Rings"
R8427A,"Round Cut Diamond Promise Ring in White Gold",691,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8427aa.jpg,http://www.povada.com/media/catalog/product/r/8/r8427ab.jpg,"7 (Resizable between size 6-8)","3.1 grams","0.34 inches",,"14K Gold",White,,,,,G/H,SI1/SI2,,Round,"0.33 ct",,,Round,"Catch a lot of attention with this fabulous design! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely design surrounded by an array of shimmering round cut diamonds. The center stone is 0.23cts. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R9270B,"Diamond Promise Ring in White Gold",965,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/9/r9270ba.jpg,http://www.povada.com/media/catalog/product/r/9/r9270bb.jpg,"7 (Resizable between size 6-8)",,0,,,White,,,,,Height:,"Width:0.36 inches",,"3.7 grams",,,,,"Her heart will melt with this glittering diamond ring! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a beautiful design covered in shimmering round cut diamonds surrounding the larger round cut diamonds in the settings. The center stone is 0.19cts and the two side stones are 0.17cts. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R9906,"Diamond Semi Mount Ring in White Gold",581,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/9/r9906a.jpg,http://www.povada.com/media/catalog/product/r/9/r9906b.jpg,"7 (Resizable between size 6-8)","2.8 grams","0.2 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,,Round,,,,,"The finishing touch to your look! Handcrafted in lustrous 14k white gold, this beautiful diamond semi mount ring features a lovely and simple design covered in shimmering round cut diamonds. The semi mount setting can hold any stone up 1.50cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Semi Mount Rings"
R9908,"Round Cut Diamond Semi Mount Ring in White Gold",801,3,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/9/r9908a.jpg,http://www.povada.com/media/catalog/product/r/9/r9908b.jpg,"7 (Resizable between size 6-8)","3.6 grams","0.29 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,,Round,,,,,"Dress yourself up with something spectacular! Handcrafted in lustrous 14k white gold, this beautiful diamond semi mount ring features a lovely design covered in shimmering round cut diamonds. Mount fits 0.33 to 0.38 cts (4.4x4.6 mm), round cut stone. The color of the diamonds are G/H and the clarity is SI2/SI3.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Semi Mount Rings"
MR7929D,"Round and Princess Cut Diamond Promise Ring in White Gold",706,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/r/mr7929da.jpg,http://www.povada.com/media/catalog/product/m/r/mr7929db.jpg,"6.5 (Resizable between size 5.5-7.5)","2.9 grams","0.17 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,,"Round,Princess","0.28 ct",,,Round,"The finishing touch to your look! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely and simple design with shimmering princess cut diamonds surrounding the single round cut diamonds held in the center. The center stone is 0.28cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R8429A,"Round Cut Diamond Promise Ring in White Gold",931,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8429aa.jpg,http://www.povada.com/media/catalog/product/r/8/r8429ab.jpg,"7 (Resizable between size 6-8)","3.9 grams","0.34 inches",,"14K Gold",White,,,,,G/H,SI1/SI2,,Round,"0.22 ct",,,Round,"Catch a lot of attention with this fabulous design! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely design surrounded by an array of shimmering round cut diamonds. The center stone is 0.22cts. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
S45780D,"Round Cut Diamond Promise Ring in White Gold",627,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/4/s45780da.jpg,http://www.povada.com/media/catalog/product/s/4/s45780db.jpg,"7 (Resizable between size 6-8)","2.7 grams","0.22 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,,Round,"0.29 ct",,,Round,"This stylish design will make great for any occasion! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely and simple design covered in shimmering round cut diamonds held in a secure prong setting surrounding the center stone. The center stone is 0.29cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
S46293A,"Round Cut Diamond Promise Ring in Yellow Gold",684,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/4/s46293aa.jpg,http://www.povada.com/media/catalog/product/s/4/s46293ab.jpg,"7 (Resizable between size 6-8)","2.9 grams","0.34 inches",,"14K Gold",Yellow,,,,,G/H,SI1/SI2,,Round,"0.30 ct",,,Round,"Dress yourself up with something spectacular! Handcrafted in lustrous 14k yellow gold, this beautiful diamond promise ring features a beautiful design covered in shimmering round cut diamonds held in a secure prong setting surrounding the diamond in the center. The center stone is 0.30cts. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
BPR64,"Diamond Cluster Ring in White Gold",290,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpr64a.jpg,http://www.povada.com/media/catalog/product/b/p/bpr64b.jpg,"6.5 (Resizable between size 5.5-7.5)","2.9 grams","0.33 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,,Round,,,,,"Simply beautiful! Handcrafted in lustrous 14k white gold, this beautiful diamond cluster ring features a lovely design covered in shimmering round cut diamonds surrounding the cluster setting in the center of the ring. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
S45822D,"Round Cut Diamond Promise Ring in White Gold",681,4,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/4/s45822da.jpg,http://www.povada.com/media/catalog/product/s/4/s45822db.jpg,"7 (Resizable between size 6-8)","3.7 grams","0.22 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,,Round,"0.32 ct",,,Round,"The finishing touch to your look! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely and simple design covered in shimmering round cut diamonds held in a secure prong setting surrounding the setting in the center. The center stone is 0.32cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R8424A,"Round Cut Diamond Promise Ring in Yellow Gold",892,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8424aa.jpg,http://www.povada.com/media/catalog/product/r/8/r8424ab.jpg,"7 (Resizable between size 6-8)","3.4 grams","0.17 inches",,"14K Gold",Yellow,,,,,G/H,SI1/SI2,,Round,"0.24 ct",,,Round,"Dress yourself up with something spectacular! Handcrafted in lustrous 14k yellow gold, this gorgeous diamond promise ring features a lovely design with 2 dazzling round cut diamonds surrounding the center stone. The center stone is 0.24cts. The color of the diamonds are F/G and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R8435C,"Round Cut Diamond Promise Ring in Yellow Gold",559,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8435ca.jpg,http://www.povada.com/media/catalog/product/r/8/r8435cb.jpg,"7 (Resizable between size 6-8)","3.8 grams","0.15 inches",,"14K Gold",Yellow,,,,,G/H,SI1/SI2,,Round,"0.21 ct",SI2,H,Round,"The finishing touch to your look! Handcrafted in lustrous 14k yellow gold, this beautiful diamond promise ring features a lovely design with 2 shimmering round cut diamonds surrounding the diamond held in the center. The center stone is 0.21cts. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R8423A,"Round Cut Diamond Promise Ring in Yellow Gold",794,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8423aa.jpg,http://www.povada.com/media/catalog/product/r/8/r8423ab.jpg,"7 (Resizable between size 6-8)","3.1 grams","0.2 inches",,"14K Gold",Yellow,,,,,G/H,SI1/SI2,0.53ct,Round,,,,,"Stand out in any crowd with this beautiful piece of jewelry! Handcrafted in lustrous 14k yellow gold, this beautiful diamond promise ring features a lovely design with diamonds climbing up the sides of the frame leading to the array of larger round cut diamonds surrounding the center stone. The center stone is 0.23cts. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R8430A,"Round Cut Diamond Promise Ring in White Gold",688,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8430aa.jpg,http://www.povada.com/media/catalog/product/r/8/r8430ab.jpg,"7 (Resizable between size 6-8)","3.3 grams","0.19 inches",,"14K Gold",White,,,,,G/H,SI1/SI2,0.46ct,Round,"0.25 ct",,,Round,"Stand out in any crowd with this beautiful piece of jewelry! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely design going up the sides of the band leading to the array of dazzling round cut diamonds surrounding the diamond in the center. The center stone is 0.25cts. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R8439A,"Diamond Promise Ring in White Gold",603,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8439aa.jpg,http://www.povada.com/media/catalog/product/r/8/r8439ab.jpg,"7 (Resizable between size 6-8)","3.0 grams","0.2 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,0.38ct,Round,,,,,"Stand out in any crowd with this beautiful piece of jewelry! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely design going up the sides of the band leading to the array of dazzling round cut diamonds surrounding the diamond in the center. The center stone is 0.24cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
MR7883A,"Round Cut Diamond Promise Ring in White Gold",703,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/r/mr7883aa.jpg,http://www.povada.com/media/catalog/product/m/r/mr7883ab.jpg,"6.5 (Resizable between size 5.5-7.5)","2.9 grams","0.19 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,0.50ct,"Round,Princess",,,,,"This bold ring boasts a look that holds vibrant beauty! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a lovely design with princess cut diamonds surrounding the diamond held in the center of the frame. The center stone is 0.34cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
BJ4294D,"Round Cut Diamond Promise Heart Ring in White Gold",1161,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/j/bj4294da.jpg,http://www.povada.com/media/catalog/product/b/j/bj4294db.jpg,"6.5 (Resizable between size 5.5-7.5)","5.5 grams","0.19 inches",,"18K Gold",White,,,,,G/H,SI2/SI3,0.65ct,"Round,Baguette",,,,,"Be the talk of the town with this amazing piece of jewelry! Handcrafted in lustrous 18k white gold, this gorgeous diamond promise ring feature a lovely design with heart charms hanging off the sides of the frame showcasing the diamond held in the center of the frame. The color of the diamonds are G/H and the clarity is SI2/SI3.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
S45828D,"Diamond Promise Ring in White Gold",794,3,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/4/s45828da.jpg,http://www.povada.com/media/catalog/product/s/4/s45828db.jpg,"7 (Resizable between size 6-8)",,5.01mm,,"14K Gold",White,,,,,G/H,SI2/SI3,1.17ct,Round,,,,,"Be the center of attention with this outstanding piece of jewelry! Handcrafted in lustrous 14k white gold, this beautiful diamond promise ring features a dazzling design covered in shimmering round cut diamonds showcasing the vibrant round cut diamonds held in the center. The center stone is 0.39cts. The color of the diamonds are G/H and the clarity is SI2/SI3.Different head sizes may be available to fit different sized and shaped stones.Different ring sizes may be available. Please inquire for details.","Engagement > Diamond Promise Rings"
R9867,"Diamond Oval Shaped Fashion Ring in 14K Two Tone Gold",483,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/9/r9867a.jpg,http://www.povada.com/media/catalog/product/r/9/r9867b.jpg,"7 (Resizable between size 6-8)","4.1 grams","0.48 inches",,"14K Gold","Two Tone",,,,,G/H,SI2/SI3,0.30ct,Round,,,,,"Simply beautiful! Handcrafted in lustrous 14k white and yellow gold, this lovely ring features a eye catching loop design with diamond accents scattered along the sides leading up to the array of shimmering round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3.","Rings > Diamond Right Hand Rings"
R9866,"Diamond Ring in Two Tone Gold",681,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/9/r9866a.jpg,http://www.povada.com/media/catalog/product/r/9/r9866b.jpg,"7 (Resizable between size 6-8)","4.8 grams","0.47 inches",,"14K Gold","Two Tone",,,,,G/H,SI2/SI3,0.30ct,Round,,,,,"Enhance your personal style with this attractive ring! Handcrafted in lustrous 14k white and yellow gold, this beautiful ring features a lovely design going up the sides of the band showcasing the square shaped design in the center covered in shimmering round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3.","Sold Out > Sold Out Rings"
BPR85A,"Diamond Cluster Ring in White Gold",1420,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpr85aa.jpg,http://www.povada.com/media/catalog/product/b/p/bpr85ab.jpg,"6.5 (Resizable between size 5.5-7.5)","4.7 grams","0.44 inches",,"14K Gold",White,,,,,G/H,SI1/SI2,1.53ct,Round,,,,,"Stand out in any crowd with this beautiful piece of jewelry! Handcrafted in lustrous 14k white gold, this beautiful diamond cluster ring features a beautiful design covered in dazzling round cut diamonds held in a pave setting showcasing the vibrant cluster setting in the center of the ring. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Rings > Diamond Cluster Rings"
BPR66A,"Round Cut Diamond Cluster Pear Shaped Ring in White Gold",880,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpr66aa.jpg,http://www.povada.com/media/catalog/product/b/p/bpr66ab.jpg,"6.5 (Resizable between size 5.5-7.5)","3.2 grams","0.53 inches",,"14K Gold",White,,,,,G/H,SI2/SI3,0.96ct,Round,,,,,"This stylish design will make great for any occasion! Handcrafted in lustrous 14k white gold, this beautiful diamond cluster ring features a lovely design covered in shimmering round cut diamonds held in a secure pave setting. The color of the diamonds are G/H and the clarity is SI1/SI2.Different ring sizes may be available. Please inquire for details.","Rings > Diamond Cluster Rings"
BPC33050A,"Diamond Cross Pendant in White Gold",250,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpc33050aa.jpg,http://www.povada.com/media/catalog/product/b/p/bpc33050ab.jpg,,"2.2 grams","0.75 inches","1.42 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.32ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
BPC33371A,"Diamond Key Pendant in White Gold",113,11,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpc33371aa.jpg,http://www.povada.com/media/catalog/product/b/p/bpc33371ab.jpg,,"0.89 grams","0.29 inches","0.98 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.15ct,Round,,,,,,"Pendants > Diamond Key Pendants"
BPC33361,"Diamond Key Pendant in White Gold",130,18,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpc33361a.jpg,http://www.povada.com/media/catalog/product/b/p/bpc33361b.jpg,,"1.1 grams","0.37 inches","0.98 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.15ct,Round,,,,,,"Pendants > Diamond Key Pendants"
BPC33383,"Diamond Key Pendant in White Gold",115,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpc33383b.jpg,http://www.povada.com/media/catalog/product/b/p/bpc33383aa_1.jpg,,"1.0 grams","0.31 inches","0.97 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.12ct,Round,,,,,,"Pendants > Diamond Key Pendants"
BPC33377,"Diamond Key Pendant in White Gold",118,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpc33377a.jpg,http://www.povada.com/media/catalog/product/b/p/bpc33377b.jpg,,"1.0 grams","0.3 inches","0.93 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.15ct,Round,,,,,,"Pendants > Diamond Key Pendants"
PA1977,"Diamond Cross Pendant in White Gold",240,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/a/pa1977a.jpg,http://www.povada.com/media/catalog/product/p/a/pa1977b.jpg,,"1.8 grams","0.48 inches","0.97 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.25ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
P2534B,"Diamond Cross Pendant in White Gold",353,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/2/p2534ba.jpg,http://www.povada.com/media/catalog/product/p/2/p2534bb.jpg,,"3.2 grams","0.88 inches","1.41 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.25ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
P15364,"Diamond Cross Pendant in White Gold",554,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/1/p15364a.jpg,http://www.povada.com/media/catalog/product/p/1/p15364b.jpg,,"2.2 grams","0.83 inches","1.4 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.58ct,"Round,Princess",,,,,,"Pendants > Diamond Cross Pendants"
PSC8039,"Diamond Cross Pendant in White Gold",218,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/s/psc8039a.jpg,http://www.povada.com/media/catalog/product/p/s/psc8039b.jpg,,"1.7 grams","0.87 inches","1.15 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.44ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
E570M,"Diamond Cross Pendant in White Gold",649,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/5/e570ma.jpg,http://www.povada.com/media/catalog/product/e/5/e570mb.jpg,,"5.2 grams","1.01 inches","1.65 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.30ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
PD030370,"Diamond Cross Pendant in Yellow Gold",392,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/d/pd030370a.jpg,http://www.povada.com/media/catalog/product/p/d/pd030370b.jpg,,"3.0 grams","0.93 inches","1.67 inches","14K Gold",Yellow,,,,,H/I,I2/I3,0.44ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
PD023975,"Diamond Cross Pendant in Two Tone Gold",446,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/d/pd023975a.jpg,http://www.povada.com/media/catalog/product/p/d/pd023975b.jpg,,"4.5 grams","0.99 inches","1.87 inches","14K Gold","Two Tone",,,,,G/H,SI2/SI3,0.27ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
PD24025,"White and Black Diamond Cross Pendant in White Gold",492,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/d/pd24025a.jpg,http://www.povada.com/media/catalog/product/p/d/pd24025b.jpg,,"4.6 grams","1.38 inches","2.38 inches","14K Gold",White,,,,,G/H,SI3/I1,1.01ct,Round,,,,,,"Pendants > Diamond Cross Pendants"
BPC32546A,"Diamond Heart Pendant in White Gold",451,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpc32546aa.jpg,http://www.povada.com/media/catalog/product/b/p/bpc32546ab.jpg,,"1.2 grams","0.51 inches","0.49 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.51ct,Round,,,,,,"Pendants > Diamond Heart Pendants"
P9868,"Pave Diamond Square Small Pendant in White Gold",399,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/9/p9868a.jpg,http://www.povada.com/media/catalog/product/p/9/p9868b.jpg,,"2.7 grams","0.48 inches","0.86 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.30ct,Round,,,,,,"Pendants > Small Diamond Pendants"
BPC32712A,"Diamond Cluster Circle Pendant in White Gold",453,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/p/bpc32712aa.jpg,http://www.povada.com/media/catalog/product/b/p/bpc32712ab.jpg,,"1.5 grams","0.38 inches","0.58 inches","14K Gold",White,,,,,G/H,SI2/SI3,0.45ct,Round,,,,,,"Pendants > Diamond Circle Pendants"
